type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;325000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;325000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;325000;;;;;;;;;;;;;;
PRODUCT;;1;Quần jeans skinny rạch gấu;Sản phẩm mới;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/9c4aaed3a6f887ccd8f2887561862b5c16b2e973.jpg;Quần jeans skinny rạch gấu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15315/s/Quan-jeans-S219N-QSA058/category/124/#92=306;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần sooc dạ đai đính nơ;Quần sooc;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/9a45a3639c0372ab974802e1b5ef07fe54bc23cc.jpg;Quần sooc dạ đai đính nơ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/quan/quan-sooc/quan-da-o118t-sva1162.html#92=272;https://20again.vn/quan/quan-sooc.html
PRODUCT;;1;Quần sooc vải;Quần sooc;355000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/3ec46ff24b00544b591dc893abd0354e3ca15acf.jpg;Quần sooc vải;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/quan/quan-sooc/quan-sooc-vai-s118h-sva955.html#92=268;https://20again.vn/quan/quan-sooc.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;355000;;;;;;;;;;;;;;
PRODUCT;;1;Quần shorts giả váy vạt lệch;Quần giả váy;355000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/5cd9810872c78a119b0250af72beaf8fe676eab7.jpg;Quần shorts giả váy vạt lệch;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14589/s/Quan-shorts-nu-B119H-SGA1797/category/128/#92=261;https://20again.vn/quan/quan-gia-vay.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;355000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi dài tay nơ cổ;Áo sơ mi;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/5fe8e7ba33cd44c55ff324b2c089d81c5a93a9aa.jpg;Áo sơmi dài tay nơ cổ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14670/s/Ao-somi-dai-tay-no-co-B119N-ASA1811/category/117/#92=291;https://20again.vn/ao/ao-so-mi.html
PRODUCT;;1;Áo sơmi dai tay oze cổ;Áo sơ mi;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/7ccd11b7e7fa2fd7bafadfd7f918c41d9ecf679d.jpg;Áo sơmi dai tay oze cổ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14663/s/Ao-somi-dai-tay-B119N-ASA1807/category/117/#92=264;https://20again.vn/ao/ao-so-mi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi dây rút tay;Áo sơ mi;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/175a08f084b1d062e281c0396164aa1052489214.jpg;Áo sơmi dây rút tay;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15145/s/Ao-somi-dai-tay-B119N-ASA1816/category/117/#92=263;https://20again.vn/ao/ao-so-mi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu dáng suông;Quân âu;415000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/d91cb55fd9961ea19c983a56fd5f2a500bca2745.jpg;Quần âu dáng suông;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/quan/quan-au/quan-au-s118n-qaa1307.html#92=264;https://20again.vn/quan/quan-au.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;415000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;415000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;415000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu kẻ đai trang trí;Quân âu;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/a97275ae96241503404d4f370d1978d48aca674a.jpg;Quần âu kẻ đai trang trí;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14111/s/Quan-au-ke-B119N-QAA1814/category/125/#92=393;https://20again.vn/quan/quan-au.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu ống loe xẻ gấu;Quân âu;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/f28ccf9301fc3fb10dcbc5a17852ddf3b3d7ddff.jpg;Quần âu ống loe xẻ gấu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14104/s/Quan-ong-loe-B119N-QAA1700/category/125/#92=261;https://20again.vn/quan/quan-au.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
